uke2_1_neu,uke2_2_neu,uke2_3_neu,recoded_uke2_4_neu,uke2_5_neu,recoded_uke2_6_neu,uke2_7_neu,recoded_uke2_8_neu,uke2_9_neu,age_group,q1,educ_rec,Parties,weight
4,4,4,1,4,1,4,1,4,2,1,3,1,1.006957952734456
1,2,NA,4,1,2,NA,NA,1,1,2,NA,NA,0.9211237468976056
1,1,1,1,1,1,1,1,1,4,2,1,4,0.569714534312007
2,3,NA,4,2,3,3,2,2,4,2,1,NA,0.5972587617722537
3,3,4,4,4,2,4,2,2,3,1,3,3,0.810352275435899
4,4,4,4,4,3,4,1,4,5,2,3,1,1.1076281960177512
3,4,3,4,4,3,4,2,3,6,1,2,6,0.9911541496327348
1,1,1,3,1,1,3,2,3,3,1,2,4,0.703623346233501
1,2,1,4,1,1,2,1,1,3,2,2,NA,0.9034666660697781
3,4,3,4,3,NA,4,1,4,2,2,3,2,1.107581736653114
4,4,4,3,4,4,4,2,4,6,1,3,NA,1.4410186796785478
1,2,1,4,1,1,3,1,1,1,2,2,NA,1.185164464050219
3,4,2,3,3,1,3,NA,4,5,1,2,5,0.9832025620654209
4,4,4,4,4,1,4,2,4,6,1,3,2,0.8378444284088031
4,3,2,4,4,3,4,2,4,3,1,3,2,0.9634791203215423
2,2,2,2,3,2,3,1,2,5,1,2,NA,1.2715803927147953
1,2,2,4,2,1,2,2,2,5,2,NA,NA,0.8347285838632758
NA,4,4,2,4,NA,2,1,3,2,2,3,1,1.3455935560056702
1,4,1,NA,1,1,1,1,1,5,1,1,2,0.6010014200262984
3,4,2,3,3,2,3,1,3,4,1,2,4,0.9595508199413822
2,4,4,4,NA,1,4,1,NA,6,2,2,6,1.2971873497783777
2,3,1,2,2,1,3,1,2,1,1,3,5,0.9640835295163915
3,4,3,3,4,2,4,2,4,4,2,1,1,0.6004199529637864
3,4,2,4,4,3,4,1,4,6,1,2,2,1.0218123497925724
3,4,4,4,4,3,4,1,3,1,2,3,2,1.9910964555078758
3,3,4,4,4,3,3,3,3,4,1,2,1,0.7721612676441657
4,4,4,4,2,2,4,3,4,5,1,3,2,1.1246034685837336
1,2,4,1,3,2,3,3,4,1,1,3,6,0.9599269740458795
4,4,4,4,4,3,4,4,4,4,2,3,1,1.0629511696819698
4,4,4,4,4,1,3,4,4,4,2,3,1,0.7893142499385439
1,3,1,NA,1,1,1,1,1,4,2,2,NA,1.1219080696821047
